mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,overhead
gtfs-csv,rmlmapper,0,22.97,1.03,30.30,5312720,0,2254
gtfs-csv,rmlmapper,1,23.46,1.04,30.93,5052716,0,2300
gtfs-csv,rmlmapper,2,23.71,1.08,31.15,5149000,0,2367
,,,,,,,,
gtfs-json,rmlmapper,0,48.93,1.52,58.94,6997036,0,2505
gtfs-json,rmlmapper,1,49.63,1.88,59.42,6701248,0,2498
gtfs-json,rmlmapper,2,48.95,1.40,59.53,6757884,0,2527
,,,,,,,,
gtfs-xml,rmlmapper,0,71.85,1.53,82.10,10039864,0,2597
gtfs-xml,rmlmapper,1,65.22,1.10,75.99,6819128,0,2728
gtfs-xml,rmlmapper,2,65.02,1.34,75.29,8145380,0,2582
,,,,,,,,
gtfs-csv,morph-kgc,0,12.47,0.87,9.19,223520,0,1706
gtfs-csv,morph-kgc,1,9.22,0.95,9.05,218908,0,1727
gtfs-csv,morph-kgc,2,9.33,0.85,9.27,226812,0,1709
,,,,,,,,
gtfs-json,morph-kgc,0,16.75,1.11,16.41,231032,0,2068
gtfs-json,morph-kgc,1,16.91,1.15,16.55,229280,0,2006
gtfs-json,morph-kgc,2,16.64,1.08,16.35,230360,0,1994
,,,,,,,,
gtfs-xml,morph-kgc,0,43.04,1.62,42.20,507372,0,2170
gtfs-xml,morph-kgc,1,45.16,1.62,42.09,506996,0,2118
gtfs-xml,morph-kgc,2,43.16,1.77,42.15,501432,0,2044
,,,,,,,,
gtfs-csv,mapping-template,0,0.63,0.24,1.50,186384,0,1341
gtfs-csv,mapping-template,1,0.70,0.25,1.71,188632,0,1282
gtfs-csv,mapping-template,2,0.62,0.20,1.62,191560,0,1336
,,,,,,,,
gtfs-json,mapping-template,0,0.89,0.37,2.14,361636,0,1290
gtfs-json,mapping-template,1,0.90,0.48,2.12,367232,0,1280
gtfs-json,mapping-template,2,0.87,0.33,2.28,372172,0,1343
,,,,,,,,
gtfs-xml,mapping-template,0,1.76,0.60,5.15,589372,0,1564
gtfs-xml,mapping-template,1,1.62,0.59,4.99,598240,0,1515
gtfs-xml,mapping-template,2,1.56,0.38,4.64,487316,0,1535
,,,,,,,,
gtfs-csv,mapping-template-nj,0,0.60,0.29,1.46,188188,0,1332
gtfs-csv,mapping-template-nj,1,0.59,0.16,1.53,189356,0,1307
gtfs-csv,mapping-template-nj,2,0.61,0.19,1.48,182092,0,1327
,,,,,,,,
gtfs-json,mapping-template-nj,0,0.83,0.33,2.13,367620,0,1329
gtfs-json,mapping-template-nj,1,0.84,0.46,1.92,359068,0,1356
gtfs-json,mapping-template-nj,2,0.82,0.35,2.03,359620,0,1319
,,,,,,,,
gtfs-xml,mapping-template-nj,0,1.54,0.30,4.60,491176,0,1324
gtfs-xml,mapping-template-nj,1,1.54,0.37,4.55,498412,0,1299
gtfs-xml,mapping-template-nj,2,1.60,0.47,4.70,493352,0,1310
,,,,,,,,
gtfs-csv,morph-kgc-p,0,7.20,1.47,11.38,162776,0,1782
gtfs-csv,morph-kgc-p,1,6.98,1.48,11.31,162708,0,1724
gtfs-csv,morph-kgc-p,2,7.16,1.33,11.30,169444,0,1735
,,,,,,,,
gtfs-json,morph-kgc-p,0,10.18,1.81,22.06,193468,0,2070
gtfs-json,morph-kgc-p,1,10.21,1.80,22.00,189708,0,2467
gtfs-json,morph-kgc-p,2,10.34,1.94,23.50,192216,0,2313
,,,,,,,,
gtfs-xml,morph-kgc-p,0,15.39,3.19,62.11,463856,0,2325
gtfs-xml,morph-kgc-p,1,15.11,3.25,61.38,456872,0,2411
gtfs-xml,morph-kgc-p,2,14.99,3.13,60.57,455728,0,2360
